timestamp,pnl,pos_asml,pos_dual,fills,takes,lots
1784281898.987699,651627.2699999994,-15,52,985,173,19881
1784281899.2055483,651627.2699999994,-15,52,985,173,19881
1784281899.4064124,651627.2699999994,-15,52,985,173,19881
1784281899.6154714,651627.2699999994,-15,52,985,173,19881
1784281899.8362803,651627.2699999994,-15,52,985,173,19881
1784281900.0636137,651627.2699999994,-15,52,985,173,19881
1784281900.3780434,651628.7699999994,-15,52,985,173,19881
1784281900.6211782,651628.7699999994,-15,52,985,173,19881
1784281900.852935,651628.7699999994,-15,52,985,173,19881
1784281901.1099064,651616.8699999994,-15,52,985,173,19881
1784281901.3237708,651616.8699999994,-15,52,985,173,19881
1784281901.5412464,651615.3699999994,-15,52,985,173,19881
1784281901.7504456,651625.7699999994,-15,52,985,173,19881
1784281901.9815142,651625.7699999994,-15,80,986,174,19909
1784281902.2220273,651625.7699999994,-15,80,986,174,19909
1784281902.4229188,651625.7699999994,-15,80,986,174,19909
1784281902.623662,651609.7699999994,-15,80,986,174,19909
1784281902.872998,651612.7699999994,0,80,987,174,19924
1784281903.090997,651612.7699999994,0,80,987,174,19924
1784281903.291797,651612.7699999994,0,80,987,174,19924
1784281903.4925773,651612.7699999994,0,80,987,174,19924
1784281903.6934419,651636.7699999994,0,80,987,174,19924
1784281903.8942058,651636.7699999994,0,80,987,174,19924
1784281904.107549,651636.7699999994,0,80,987,174,19924
1784281904.3569906,651636.7699999994,-15,50,990,174,19969
1784281904.5693786,651636.7699999994,-15,50,990,174,19969
1784281904.7701879,651631.7699999994,-15,50,990,174,19969
1784281904.9710019,651631.7699999994,-15,50,990,174,19969
1784281905.1912258,651631.7699999994,-15,50,990,174,19969
1784281905.412606,651631.7699999994,-15,50,990,174,19969
1784281905.6375048,651641.7699999994,-15,48,991,174,19971
1784281905.874133,651641.7699999994,-15,48,991,174,19971
1784281906.075045,651641.7699999994,-15,48,991,174,19971
1784281906.2757702,651646.5699999994,-15,48,991,174,19971
1784281906.5183856,651645.0699999994,-15,48,991,174,19971
1784281906.7411706,651630.6699999993,-15,48,991,174,19971
1784281907.0511127,651635.4699999994,-15,48,991,174,19971
1784281907.251888,651638.4699999994,-15,48,991,174,19971
1784281907.4526546,651638.4699999994,-15,48,991,174,19971
1784281907.653562,651636.9699999994,-15,48,991,174,19971
1784281907.883411,651636.9699999994,-15,78,992,175,20001
1784281908.1226096,651613.5699999994,-15,78,992,175,20001
1784281908.3234086,651636.9699999994,-15,78,992,175,20001
1784281908.5242624,651638.4699999994,-15,78,992,175,20001
1784281908.7250907,651638.4699999994,-15,78,992,175,20001
1784281908.9260755,651638.4699999994,-15,78,992,175,20001
1784281909.1390297,651638.4699999994,-15,80,993,176,20003
1784281909.3398545,651638.4699999994,-15,80,993,176,20003
1784281909.540708,651639.9699999994,-15,80,993,176,20003
1784281909.7564247,651641.4699999994,-13,80,994,176,20005
1784281909.9572392,651640.1699999993,-13,80,994,176,20005
1784281910.1611817,651640.1699999993,-13,80,994,176,20005
1784281910.392455,651640.1699999993,-13,80,994,176,20005
