timestamp,pnl,cash,posA,posB
1782939287.0832264,5269.40199999997,5266.60199999997,-14,14
1782939292.0832407,5266.60199999997,5266.60199999997,0,0
1782939297.083335,5268.30199999997,5268.30199999997,0,0
1782939302.08343,5268.30199999997,5268.30199999997,0,0
1782939307.0835254,5270.60199999997,5270.60199999997,0,0
1782939312.0835366,5270.60199999997,5270.60199999997,0,0
1782939317.083617,5271.20199999997,5271.20199999997,0,0
1782939322.0836253,5272.70199999997,5271.5019999999695,-3,3
1782939327.0836496,5271.50199999997,5271.50199999997,0,0
1782939332.083704,5271.50199999997,5271.50199999997,0,0
1782939337.0838003,5271.50199999997,5271.50199999997,0,0
1782939342.0838034,5271.50199999997,5271.50199999997,0,0
1782939347.0838046,5271.50199999997,5271.50199999997,0,0
1782939352.083874,5271.50199999997,5271.50199999997,0,0
1782939357.0839705,5271.50199999997,5271.50199999997,0,0
1782939362.084064,5271.50199999997,5271.50199999997,0,0
1782939367.0841126,5270.90199999997,5272.40199999997,3,-3
1782939372.084181,5270.30199999997,5272.40199999997,3,-3
1782939377.0842688,5264.20199999997,5276.80199999997,14,-14
1782939382.0843601,5267.0019999999695,5276.80199999997,14,-14
1782939387.0844216,5259.401999999969,5282.80199999997,26,-26
1782939392.0844285,5269.80199999997,5282.80199999997,26,-26
1782939397.0845141,5277.60199999997,5282.80199999997,26,-26
1782939402.0845766,5267.20199999997,5289.40199999997,37,-37
1782939407.0846136,5256.10199999997,5289.40199999997,37,-37
1782939412.0846748,5218.201999999968,5317.60199999997,71,-71
1782939417.084733,5239.501999999968,5317.60199999997,71,-71
1782939422.0847666,5253.70199999997,5317.60199999997,71,-71
1782939427.0848482,5263.0019999999695,5311.0019999999695,60,-60
1782939432.0849414,5299.0019999999695,5311.0019999999695,60,-60
1782939437.085027,5277.60199999997,5290.60199999997,26,-26
1782939442.0850387,5287.20199999997,5285.801999999969,14,-14
1782939447.0850952,5283.101999999969,5282.5019999999695,3,-3
1782939452.085136,5282.201999999968,5282.201999999968,0,0
1782939457.0851526,5276.601999999968,5285.001999999968,-14,14
