timestamp,buy_venue,sell_venue,gap,units,reducing
1786137287.8836124,BASKET,OB5X_202706_F,0.1325,15,0
1786137316.8802032,OB5X_202703_F,BASKET,0.8003,15,0
1786137316.955415,OB5X_202612_F,OB5X_ETF,0.0765,48,1
1786137319.1132288,OB5X_ETF,OB5X_202612_F,0.0196,48,1
1786137326.4684272,OB5X_202612_F,OB5X_ETF,0.178,48,1
1786137327.3744085,BASKET,OB5X_202612_F,0.1353,15,1
1786137336.4420774,OB5X_202703_F,BASKET,0.5604,15,0
1786137337.7543204,BASKET,OB5X_202612_F,0.0574,15,1
1786137339.0655677,OB5X_202703_F,BASKET,0.1204,15,0
1786137340.3920546,BASKET,OB5X_202612_F,0.0012,15,1
1786137350.7812104,OB5X_ETF,OB5X_202706_F,0.132,48,0
1786137358.164417,OB5X_202612_F,OB5X_ETF,0.0742,48,1
1786137360.2809935,OB5X_ETF,OB5X_202612_F,0.0249,48,1
1786137366.557926,OB5X_202706_F,OB5X_ETF,0.3658,48,1
1786137371.038522,OB5X_ETF,BASKET,0.1213,15,0
1786137373.8730793,OB5X_ETF,OB5X_202703_F,0.1119,33,1
1786137373.904932,BASKET,OB5X_202703_F,0.0667,15,1
1786137395.6886492,OB5X_202612_F,BASKET,0.1478,15,0
1786137462.5303159,BASKET,OB5X_202612_F,0.1248,15,1
1786137467.7833104,BASKET,OB5X_202706_F,0.2899,8,0
1786137481.693238,OB5X_202703_F,OB5X_ETF,0.1738,48,1
1786137481.7273116,FLATTEN,OB5X_202612_F,-12.15,12,0
1786137486.6015046,BASKET,OB5X_202612_F,0.1015,7,0
1786137490.277218,OB5X_202706_F,BASKET,0.1493,6,1
1786137490.3287401,OB5X_202612_F,BASKET,0.1507,1,0
1786137522.6475337,OB5X_ETF,OB5X_202703_F,0.0321,48,1
1786137528.2358878,BASKET,OB5X_202612_F,0.3906,6,0
1786137529.3091943,OB5X_202706_F,OB5X_ETF,0.1529,48,1
1786137538.8064609,OB5X_ETF,OB5X_202706_F,0.2528,48,1
1786137557.1805527,OB5X_202703_F,BASKET,0.1426,5,1
1786137558.5034785,BASKET,OB5X_202706_F,0.6148,5,0
1786137633.839507,OB5X_202703_F,OB5X_ETF,0.0972,48,1
1786137640.2354665,OB5X_ETF,OB5X_202703_F,0.1058,48,1
1786137643.3503773,OB5X_202703_F,OB5X_ETF,0.0922,48,1
1786137644.2412322,OB5X_202612_F,BASKET,0.0374,6,1
1786137644.2973778,OB5X_202706_F,BASKET,0.0257,1,1
1786137646.4856882,BASKET,OB5X_202706_F,0.1426,7,0
1786137646.5575356,OB5X_ETF,OB5X_202703_F,0.1999,48,1
1786137679.0220382,OB5X_202703_F,BASKET,0.0272,6,1
1786137681.9968479,BASKET,OB5X_202612_F,0.4461,6,0
1786137704.1158943,OB5X_202703_F,OB5X_ETF,0.326,48,0
1786137705.4139411,OB5X_ETF,OB5X_202703_F,0.1764,48,1
1786137713.18349,OB5X_202612_F,OB5X_ETF,0.11,48,1
1786137718.0798614,OB5X_ETF,OB5X_202706_F,0.1997,48,0
1786137722.6699255,OB5X_202706_F,OB5X_ETF,0.1048,48,1
1786137732.0727692,OB5X_202706_F,BASKET,0.0019,6,1
1786137732.3314276,OB5X_202706_F,BASKET,0.1875,1,1
1786137737.4561923,BASKET,OB5X_202706_F,0.4815,7,0
1786137774.1371176,OB5X_ETF,BASKET,0.0004,6,1
1786137776.5990038,OB5X_ETF,OB5X_202612_F,0.4763,42,1
1786137779.5749893,BASKET,OB5X_202612_F,0.1425,5,0
1786137782.014052,OB5X_202706_F,BASKET,0.2219,1,1
1786137794.1860452,BASKET,OB5X_202706_F,0.168,1,0
1786137807.5298867,OB5X_202706_F,OB5X_ETF,0.0126,48,1
1786137809.6885905,OB5X_202612_F,BASKET,0.248,16,0
1786137810.9558187,BASKET,OB5X_202612_F,0.401,16,1
1786137811.8506033,OB5X_ETF,OB5X_202706_F,0.1842,48,1
1786137814.9225774,OB5X_202706_F,BASKET,0.5808,3,1
1786137839.0387635,OB5X_202706_F,OB5X_ETF,0.0931,5,1
1786137846.0483265,OB5X_202706_F,OB5X_ETF,0.0998,6,1
