timestamp,pnl,pnl_arb,pnl_opt,pnl_hedge,delta,gamma,band_eff,u_etf,u_basket,u_f612,u_f703,u_f706,hedge_pos,fills,arbs,lots,n_quotes,quoted_vol
1786151693.6356506,3756108.638999998,4017,585,-135,-4.52,0.5202,7.35,-23.75,17.62,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151694.1550655,3756109.7389999977,4015,585,-135,-4.52,0.5202,7.35,-23.75,17.61,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151694.6694899,3756104.1389999986,4016,585,-135,-4.52,0.5202,7.35,-23.75,17.62,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151695.1759255,3756115.038999998,4009,585,-135,-4.52,0.5202,7.35,-23.75,17.58,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151695.6930094,3756114.9389999984,4004,585,-135,-4.52,0.5202,7.35,-23.75,17.58,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151696.2060466,3756105.038999998,3979,591,-141,-4.47,0.5188,7.36,-23.75,17.45,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151696.7146778,3756123.0389999985,4021,575,-124,-4.62,0.5232,7.33,-23.75,17.64,-38.24,40.56,-3.06,-57,3876,1011,141436,5,133
1786151697.225849,3756160.138999998,4022,575,-124,-4.62,0.5232,7.33,-23.75,17.65,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151697.725939,3756150.638999998,4029,585,-135,-4.52,0.5202,7.35,-23.75,17.64,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151698.240177,3756175.5389999985,4029,585,-135,-4.52,0.5202,7.35,-23.75,17.64,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151698.779037,3756146.138999998,4020,585,-135,-4.52,0.5202,7.35,-23.75,17.64,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151699.2936718,3756142.438999998,4025,575,-124,-4.62,0.5232,7.33,-23.75,17.71,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151699.8161387,3756168.2389999977,4016,575,-124,-4.62,0.5232,7.33,-23.75,17.66,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151700.3314278,3756158.6389999986,4021,572,-124,-4.62,0.5232,7.33,-23.75,17.69,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151700.8523574,3756140.338999998,4020,575,-124,-4.62,0.5232,7.33,-23.75,17.69,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151701.3697004,3756159.338999998,4020,575,-124,-4.62,0.5232,7.33,-23.75,17.69,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151701.899268,3756170.538999998,4020,570,-118,-4.67,0.5246,7.32,-23.75,17.71,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151702.41401,3756170.538999998,4026,570,-118,-4.67,0.5246,7.32,-23.75,17.74,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151702.9191263,3756170.1389999986,4019,570,-118,-4.67,0.5246,7.32,-23.75,17.69,-38.24,40.56,-3.06,-57,3876,1011,141436,5,126
1786151703.4211073,3756187.238999998,4030,570,-118,-4.67,0.5246,7.32,-23.75,17.71,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151703.9336908,3756187.238999998,4030,570,-118,-4.67,0.5246,7.32,-23.75,17.71,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151704.4376688,3756173.738999998,4035,575,-124,-4.62,0.5232,7.33,-23.75,17.72,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151704.951804,3756160.8389999988,4035,575,-124,-4.62,0.5232,7.33,-23.75,17.72,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151705.452819,3756161.038999998,4035,575,-124,-4.62,0.5232,7.33,-23.75,17.72,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151705.9674313,3756164.1389999986,4015,575,-124,-4.62,0.5232,7.33,-23.75,17.71,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
